Account-Balance,Duration-of-Credit-Month,Payment-Status-of-Previous-Credit,Purpose,Credit-Amount,Value-Savings-Stocks,Length-of-current-employment,Instalment-per-cent,Guarantors,Duration-in-Current-address,Most-valuable-available-asset,Age-years,Concurrent-Credits,Type-of-apartment,No-of-Credits-at-this-Bank,Occupation,No-of-dependents,Telephone,Foreign-Worker,Credit-Application-Result
Some Balance,4,Paid Up,Other,1494,POUND_100-POUND_1000,< 1yr,1,None,2,1,,Other Banks/Depts,2,1,1,2,1,2,Creditworthy
Some Balance,4,Paid Up,Home Related,1494,POUND_100-POUND_1000,< 1yr,1,None,2,1,29,Other Banks/Depts,2,1,1,2,1,2,Creditworthy
Some Balance,4,No Problems (in this bank),Home Related,1544,None,1-4 yrs,2,None,1,1,42,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
Some Balance,4,No Problems (in this bank),Home Related,3380,None,1-4 yrs,1,None,1,1,37,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,6,Paid Up,Home Related,343,None,< 1yr,4,None,1,1,27,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,362,< POUND_100,< 1yr,4,None,,3,52,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,6,Some Problems,Home Related,433,POUND_100-POUND_1000,< 1yr,4,None,,2,24,Other Banks/Depts,1,1,1,2,1,1,Non-Creditworthy
No Account,6,Paid Up,Home Related,454,None,< 1yr,3,None,,2,22,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,6,Paid Up,Home Related,484,None,1-4 yrs,3,Yes,3,1,28,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,660,POUND_100-POUND_1000,1-4 yrs,2,None,4,1,23,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,666,POUND_100-POUND_1000,1-4 yrs,3,None,4,1,39,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,700,POUND_100-POUND_1000,4-7 yrs,4,None,,4,36,Other Banks/Depts,3,More than 1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,709,POUND_100-POUND_1000,< 1yr,2,None,2,1,27,Other Banks/Depts,2,1,1,1,1,2,Creditworthy
No Account,6,No Problems (in this bank),Home Related,932,POUND_100-POUND_1000,1-4 yrs,1,None,,2,39,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,1047,None,< 1yr,2,None,,2,50,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,6,Paid Up,Home Related,1068,None,4-7 yrs,4,None,,3,28,Other Banks/Depts,2,1,1,2,1,1,Creditworthy
No Account,6,Paid Up,Home Related,1203,< POUND_100,4-7 yrs,3,None,,2,43,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,6,No Problems (in this bank),Used car,1221,POUND_100-POUND_1000,< 1yr,1,None,,2,27,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,New car,1236,POUND_100-POUND_1000,< 1yr,2,None,,2,50,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,1338,POUND_100-POUND_1000,< 1yr,1,None,4,1,62,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,1346,< POUND_100,4-7 yrs,2,None,,4,42,Other Banks/Depts,3,1,1,2,2,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,1361,None,< 1yr,2,None,4,1,40,Other Banks/Depts,2,1,1,2,1,2,Creditworthy
No Account,6,Paid Up,Used car,1374,None,< 1yr,1,None,2,1,36,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,6,Paid Up,Home Related,1374,POUND_100-POUND_1000,< 1yr,4,None,,2,75,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,1449,< POUND_100,4-7 yrs,1,None,,3,31,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
Some Balance,6,Paid Up,Home Related,1538,None,< 1yr,1,None,,4,56,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Used car,1543,POUND_100-POUND_1000,< 1yr,4,None,2,1,33,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,1898,POUND_100-POUND_1000,< 1yr,1,None,2,1,34,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
No Account,6,Paid Up,Home Related,2063,None,< 1yr,4,None,,3,30,Other Banks/Depts,1,1,1,1,2,1,Creditworthy
Some Balance,6,Paid Up,Home Related,2108,None,1-4 yrs,2,None,2,1,29,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,6,Paid Up,Used car,2116,None,< 1yr,2,None,2,1,41,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
Some Balance,6,Paid Up,Used car,2978,POUND_100-POUND_1000,< 1yr,1,None,,3,32,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,6,No Problems (in this bank),Home Related,3676,None,< 1yr,1,None,3,1,37,Other Banks/Depts,1,More than 1,1,2,1,1,Creditworthy
Some Balance,6,Paid Up,Used car,4611,None,< 1yr,1,None,,2,32,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,6,No Problems (in this bank),Home Related,4716,POUND_100-POUND_1000,< 1yr,1,None,3,1,44,Other Banks/Depts,2,More than 1,1,2,1,1,Creditworthy
Some Balance,6,No Problems (in this bank),Home Related,6761,None,1-4 yrs,1,None,,4,45,Other Banks/Depts,2,More than 1,1,2,2,1,Creditworthy
No Account,6,Paid Up,Home Related,14555,POUND_100-POUND_1000,< 1yr,1,None,,2,23,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
No Account,6,Paid Up,Home Related,14896,None,4-7 yrs,1,None,,4,68,Other Banks/Depts,2,1,1,1,2,1,Non-Creditworthy
Some Balance,7,No Problems (in this bank),Home Related,730,POUND_100-POUND_1000,4-7 yrs,4,None,,2,46,Other Banks/Depts,1,More than 1,1,1,2,1,Creditworthy
Some Balance,7,No Problems (in this bank),Home Related,846,POUND_100-POUND_1000,4-7 yrs,3,None,,4,36,Other Banks/Depts,3,1,1,1,1,1,Creditworthy
No Account,7,Paid Up,Home Related,2576,None,< 1yr,2,Yes,2,1,35,Other Banks/Depts,2,1,1,1,1,2,Creditworthy
No Account,8,Paid Up,Home Related,760,None,1-4 yrs,4,Yes,2,1,44,Other Banks/Depts,2,1,1,1,1,1,Creditworthy
No Account,8,Paid Up,Home Related,907,None,< 1yr,3,None,2,1,26,Other Banks/Depts,2,1,1,1,2,1,Creditworthy
No Account,8,No Problems (in this bank),Home Related,1164,None,4-7 yrs,3,None,,4,51,Other Banks/Depts,3,More than 1,1,2,2,1,Creditworthy
No Account,8,Paid Up,Home Related,1414,None,< 1yr,4,Yes,2,1,33,Other Banks/Depts,2,1,1,1,1,2,Creditworthy
No Account,8,No Problems (in this bank),Home Related,3398,None,1-4 yrs,1,None,4,1,39,Other Banks/Depts,2,More than 1,1,1,1,2,Creditworthy
No Account,9,Paid Up,Home Related,276,None,< 1yr,4,None,4,1,22,Other Banks/Depts,1,1,1,1,1,1,Creditworthy
Some Balance,9,Paid Up,Home Related,745,None,< 1yr,3,None,2,1,28,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
Some Balance,9,No Problems (in this bank),Home Related,936,POUND_100-POUND_1000,4-7 yrs,4,None,,3,52,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,9,Paid Up,Used car,959,None,< 1yr,1,None,,3,29,Other Banks/Depts,2,1,1,1,1,1,Non-Creditworthy
No Account,9,No Problems (in this bank),Home Related,1138,None,< 1yr,4,None,4,1,25,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,9,No Problems (in this bank),Home Related,1154,None,4-7 yrs,2,None,4,1,37,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
No Account,9,Paid Up,Other,1199,None,1-4 yrs,4,None,4,2,,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
No Account,9,Paid Up,Home Related,1199,None,1-4 yrs,4,None,,2,67,Other Banks/Depts,2,More than 1,1,1,2,1,Creditworthy
Some Balance,9,No Problems (in this bank),Home Related,1224,None,< 1yr,3,None,1,1,30,Other Banks/Depts,2,More than 1,1,1,1,1,Creditworthy
